Activity,Timestamp,Value
Clean Cycle Complete,1/5 6:11 am,-
Clean Cycle In Progress,1/5 6:09 am,-
Weight recorded,1/5 6:02 am,10.5 lbs
Cat detected,1/5 6:01 am,-
Clean Cycle Complete,1/5 3:59 am,-
Clean Cycle In Progress,1/5 3:56 am,-
Weight recorded,1/5 3:49 am,10.5 lbs
Cat detected,1/5 3:48 am,-
Clean Cycle Complete,1/4 12:00 pm,-
Clean Cycle In Progress,1/4 11:57 am,-
Weight recorded,1/4 11:50 am,10.6 lbs
Cat detected,1/4 11:49 am,-
Clean Cycle Complete,1/4 6:14 am,-
Clean Cycle In Progress,1/4 6:11 am,-
Weight recorded,1/4 6:04 am,15.1 lbs
Cat detected,1/4 6:03 am,-
Clean Cycle Complete,1/4 4:45 am,-
Clean Cycle In Progress,1/4 4:43 am,-
Cat detected,1/4 4:35 am,-
Clean Cycle Complete,1/3 6:58 am,-
Clean Cycle In Progress,1/3 6:56 am,-
Weight recorded,1/3 6:49 am,10.6 lbs
Cat detected,1/3 6:47 am,-
Clean Cycle Complete,1/3 3:51 am,-
Clean Cycle In Progress,1/3 3:49 am,-
Weight recorded,1/3 3:41 am,14.9 lbs
Cat detected,1/3 3:40 am,-
Clean Cycle Complete,1/3 3:40 am,-
Clean Cycle In Progress,1/3 3:38 am,-
Weight recorded,1/3 3:31 am,19.3 lbs
Cat detected,1/3 3:30 am,-
Clean Cycle Complete,1/2 3:21 am,-
Clean Cycle In Progress,1/2 3:19 am,-
Weight recorded,1/2 3:12 am,19.3 lbs
Cat detected,1/2 3:11 am,-
Clean Cycle Complete,1/2 2:43 am,-
Clean Cycle In Progress,1/2 2:41 am,-
Weight recorded,1/2 2:34 am,15.0 lbs
Cat detected,1/2 2:33 am,-
Clean Cycle Complete,1/1 10:09 pm,-
Clean Cycle In Progress,1/1 10:07 pm,-
Weight recorded,1/1 10:00 pm,10.5 lbs
Cat detected,1/1 9:58 pm,-
Clean Cycle Complete,1/1 4:24 pm,-
Clean Cycle In Progress,1/1 4:22 pm,-
Weight recorded,1/1 4:15 pm,10.5 lbs
Weight recorded,1/1 4:13 pm,15.2 lbs
Cat detected,1/1 4:13 pm,-
Clean Cycle Complete,1/1 3:20 am,-
Clean Cycle In Progress,1/1 3:18 am,-
Weight recorded,1/1 3:11 am,10.5 lbs
Cat detected,1/1 3:09 am,-
Clean Cycle Complete,1/1 2:37 am,-
Clean Cycle In Progress,1/1 2:35 am,-
Weight recorded,1/1 2:28 am,10.5 lbs
Cat detected,1/1 2:27 am,-
Clean Cycle Complete,12/31 4:38 pm,-
Clean Cycle In Progress,12/31 4:36 pm,-
Weight recorded,12/31 4:29 pm,14.9 lbs
Cat detected,12/31 4:28 pm,-
Clean Cycle Complete,12/31 9:46 am,-
Clean Cycle In Progress,12/31 9:44 am,-
Weight recorded,12/31 9:37 am,10.5 lbs
Cat detected,12/31 9:35 am,-
Clean Cycle Complete,12/31 3:21 am,-
Clean Cycle In Progress,12/31 3:19 am,-
Weight recorded,12/31 3:12 am,14.7 lbs
Cat detected,12/31 3:11 am,-
Clean Cycle Complete,12/30 10:11 pm,-
Clean Cycle In Progress,12/30 10:09 pm,-
Weight recorded,12/30 10:02 pm,10.4 lbs
Cat detected,12/30 10:01 pm,-
Clean Cycle Complete,12/30 8:56 am,-
Clean Cycle In Progress,12/30 8:54 am,-
Clean Cycle Complete,12/30 7:38 am,-
Clean Cycle In Progress,12/30 7:36 am,-
Weight recorded,12/30 7:29 am,10.4 lbs
Cat detected,12/30 7:28 am,-
Clean Cycle Complete,12/30 6:18 am,-
Clean Cycle In Progress,12/30 6:16 am,-
Weight recorded,12/30 6:09 am,15.1 lbs
Cat detected,12/30 6:07 am,-
Clean Cycle Complete,12/30 6:05 am,-
Clean Cycle In Progress,12/30 6:03 am,-
Weight recorded,12/30 5:56 am,10.5 lbs
Clean Cycle Complete,12/29 9:46 am,-
Clean Cycle In Progress,12/29 9:44 am,-
Weight recorded,12/29 9:37 am,14.8 lbs
Cat detected,12/29 9:36 am,-
Clean Cycle Complete,12/29 3:02 am,-
Clean Cycle In Progress,12/29 2:59 am,-
Weight recorded,12/29 2:52 am,10.4 lbs
Cat detected,12/29 2:52 am,-
Clean Cycle Complete,12/28 7:55 am,-
Clean Cycle In Progress,12/28 7:53 am,-
Weight recorded,12/28 7:46 am,10.2 lbs
Cat detected,12/28 7:46 am,-
Clean Cycle Complete,12/28 5:33 am,-
Clean Cycle In Progress,12/28 5:31 am,-
Weight recorded,12/28 5:24 am,10.4 lbs
Cat detected,12/28 5:23 am,-
Clean Cycle Complete,12/28 4:19 am,-
Clean Cycle In Progress,12/28 4:17 am,-
Weight recorded,12/28 4:10 am,19.1 lbs
Cat detected,12/28 4:09 am,-
Clean Cycle Complete,12/27 8:17 pm,-
Clean Cycle In Progress,12/27 8:14 pm,-
Cat detected,12/27 8:07 pm,-
Clean Cycle Complete,12/27 7:40 pm,-
Clean Cycle In Progress,12/27 7:38 pm,-
Weight recorded,12/27 7:28 pm,14.8 lbs
Cat detected,12/27 7:27 pm,-
Clean Cycle Complete,12/27 2:18 pm,-
Clean Cycle In Progress,12/27 2:16 pm,-
Weight recorded,12/27 2:09 pm,14.8 lbs
Cat detected,12/27 2:08 pm,-
Clean Cycle Complete,12/27 9:40 am,-
Clean Cycle In Progress,12/27 9:37 am,-
Weight recorded,12/27 9:30 am,10.4 lbs
Cat detected,12/27 9:30 am,-
Clean Cycle Complete,12/27 3:24 am,-
Clean Cycle In Progress,12/27 3:22 am,-
Weight recorded,12/27 3:15 am,14.7 lbs
Cat detected,12/27 3:14 am,-
Clean Cycle Complete,12/26 7:11 am,-
Clean Cycle In Progress,12/26 7:09 am,-
Weight recorded,12/26 7:02 am,10.0 lbs
Cat detected,12/26 7:01 am,-
Clean Cycle Complete,12/25 7:35 pm,-
Clean Cycle In Progress,12/25 7:33 pm,-
Cat detected,12/25 7:26 pm,-
Clean Cycle Complete,12/25 6:51 pm,-
Clean Cycle In Progress,12/25 6:49 pm,-
Weight recorded,12/25 6:42 pm,10.2 lbs
Cat detected,12/25 6:42 pm,-
Clean Cycle Complete,12/25 6:27 pm,-
Clean Cycle In Progress,12/25 6:24 pm,-
Weight recorded,12/25 6:17 pm,10.3 lbs
Cat detected,12/25 6:16 pm,-
Clean Cycle Complete,12/25 11:07 am,-
Clean Cycle In Progress,12/25 11:05 am,-
Weight recorded,12/25 10:58 am,14.8 lbs
Cat detected,12/25 10:57 am,-
Clean Cycle Complete,12/25 6:49 am,-
Clean Cycle In Progress,12/25 6:47 am,-
Weight recorded,12/25 6:40 am,19.1 lbs
Cat detected,12/25 6:40 am,-
Clean Cycle Complete,12/24 4:35 pm,-
Clean Cycle In Progress,12/24 4:33 pm,-
Weight recorded,12/24 4:26 pm,10.3 lbs
Cat detected,12/24 4:24 pm,-
Clean Cycle Complete,12/24 5:15 am,-
Clean Cycle In Progress,12/24 5:13 am,-
Weight recorded,12/24 5:06 am,10.1 lbs
Cat detected,12/24 5:06 am,-
Clean Cycle Complete,12/24 3:53 am,-
Clean Cycle In Progress,12/24 3:51 am,-
Weight recorded,12/24 3:44 am,14.9 lbs
Cat detected,12/24 3:43 am,-
Clean Cycle Complete,12/23 6:56 pm,-
Clean Cycle In Progress,12/23 6:54 pm,-
Weight recorded,12/23 6:47 pm,10.2 lbs
Cat detected,12/23 6:47 pm,-
Clean Cycle Complete,12/23 5:55 pm,-
Clean Cycle In Progress,12/23 5:53 pm,-
Weight recorded,12/23 5:46 pm,19.1 lbs
Cat detected,12/23 5:46 pm,-
Clean Cycle Complete,12/22 2:50 am,-
Clean Cycle In Progress,12/22 2:48 am,-
Weight recorded,12/22 2:41 am,18.9 lbs
Cat detected,12/22 2:41 am,-
Clean Cycle Complete,12/21 9:40 am,-
Clean Cycle In Progress,12/21 9:37 am,-
Weight recorded,12/21 9:30 am,10.2 lbs
Cat detected,12/21 9:30 am,-
Clean Cycle Complete,12/21 4:05 am,-
Clean Cycle In Progress,12/21 4:03 am,-
Weight recorded,12/21 3:56 am,14.8 lbs
Cat detected,12/21 3:55 am,-
Clean Cycle Complete,12/20 10:44 pm,-
Clean Cycle In Progress,12/20 10:41 pm,-
Cat detected,12/20 10:34 pm,-
Clean Cycle Complete,12/20 7:17 pm,-
Clean Cycle In Progress,12/20 7:15 pm,-
Weight recorded,12/20 7:08 pm,10.1 lbs
Cat detected,12/20 7:08 pm,-
Clean Cycle Complete,12/20 7:00 pm,-
Clean Cycle In Progress,12/20 6:57 pm,-
Weight recorded,12/20 6:50 pm,10.3 lbs
Cat detected,12/20 6:50 pm,-
Clean Cycle Complete,12/20 6:48 pm,-
Clean Cycle In Progress,12/20 6:45 pm,-
Weight recorded,12/20 6:38 pm,10.1 lbs
Cat detected,12/20 6:38 pm,-
Clean Cycle Complete,12/20 5:18 am,-
Clean Cycle In Progress,12/20 5:16 am,-
Weight recorded,12/20 5:09 am,15.0 lbs
Cat detected,12/20 5:08 am,-
Clean Cycle Complete,12/20 3:12 am,-
Clean Cycle In Progress,12/20 3:10 am,-
Weight recorded,12/20 3:03 am,18.9 lbs
Cat detected,12/20 3:02 am,-
Clean Cycle Complete,12/19 10:44 pm,-
Clean Cycle In Progress,12/19 10:41 pm,-
Weight recorded,12/19 10:34 pm,10.3 lbs
Cat detected,12/19 10:33 pm,-
Clean Cycle Complete,12/19 4:34 pm,-
Clean Cycle In Progress,12/19 4:32 pm,-
Weight recorded,12/19 4:25 pm,10.2 lbs
Cat detected,12/19 4:25 pm,-
Clean Cycle Complete,12/19 8:21 am,-
Clean Cycle In Progress,12/19 8:19 am,-
Weight recorded,12/19 8:12 am,14.8 lbs
Cat detected,12/19 8:11 am,-
Clean Cycle Complete,12/19 7:54 am,-
Clean Cycle In Progress,12/19 7:52 am,-
Weight recorded,12/19 7:45 am,10.2 lbs
Weight recorded,12/19 7:38 am,10.1 lbs
Cat detected,12/19 7:37 am,-
Clean Cycle Complete,12/19 3:42 am,-
Clean Cycle In Progress,12/19 3:39 am,-
Weight recorded,12/19 3:32 am,15.0 lbs
Clean Cycle Complete,12/19 2:18 am,-
Clean Cycle In Progress,12/19 2:16 am,-
Weight recorded,12/19 2:09 am,19.2 lbs
Cat detected,12/19 2:08 am,-
Clean Cycle Complete,12/18 5:41 pm,-
Clean Cycle In Progress,12/18 5:39 pm,-
Weight recorded,12/18 5:32 pm,10.3 lbs
Cat detected,12/18 5:31 pm,-
Clean Cycle Complete,12/18 3:47 pm,-
Clean Cycle In Progress,12/18 3:45 pm,-
Weight recorded,12/18 3:38 pm,19.3 lbs
Cat detected,12/18 3:37 pm,-
Clean Cycle Complete,12/17 6:32 pm,-
Clean Cycle In Progress,12/17 6:30 pm,-
Cat detected,12/17 6:30 pm,-
Clean Cycle Complete,12/17 8:39 am,-
Clean Cycle In Progress,12/17 8:37 am,-
Weight recorded,12/17 8:30 am,19.4 lbs
Cat detected,12/17 8:29 am,-
Clean Cycle Complete,12/17 4:53 am,-
Clean Cycle In Progress,12/17 4:51 am,-
Weight recorded,12/17 4:44 am,10.1 lbs
Cat detected,12/17 4:43 am,-
Clean Cycle Complete,12/16 10:02 pm,-
Clean Cycle In Progress,12/16 10:00 pm,-
Weight recorded,12/16 9:53 pm,10.1 lbs
Cat detected,12/16 9:52 pm,-
Clean Cycle Complete,12/16 6:14 pm,-
Clean Cycle In Progress,12/16 6:11 pm,-
Cat detected,12/16 6:04 pm,-
Clean Cycle Complete,12/16 4:49 pm,-
Clean Cycle In Progress,12/16 4:47 pm,-
Weight recorded,12/16 4:40 pm,14.8 lbs
Cat detected,12/16 4:39 pm,-
Clean Cycle Complete,12/16 7:12 am,-
Clean Cycle In Progress,12/16 7:09 am,-
Weight recorded,12/16 7:02 am,19.3 lbs
Cat detected,12/16 7:02 am,-
Clean Cycle Complete,12/16 6:52 am,-
Clean Cycle In Progress,12/16 6:50 am,-
Weight recorded,12/16 6:43 am,10.1 lbs
Cat detected,12/16 6:43 am,-
Clean Cycle Complete,12/16 3:20 am,-
Clean Cycle In Progress,12/16 3:18 am,-
Weight recorded,12/16 3:11 am,19.2 lbs
Cat detected,12/16 3:11 am,-
Clean Cycle Complete,12/15 7:44 pm,-
Clean Cycle In Progress,12/15 7:41 pm,-
Weight recorded,12/15 7:34 pm,10.2 lbs
Cat detected,12/15 7:34 pm,-
Clean Cycle Complete,12/15 8:08 am,-
Clean Cycle In Progress,12/15 8:06 am,-
Weight recorded,12/15 7:59 am,15.0 lbs
Cat detected,12/15 7:59 am,-
Clean Cycle Complete,12/15 3:21 am,-
Clean Cycle In Progress,12/15 3:19 am,-
Weight recorded,12/15 3:12 am,15.0 lbs
Cat detected,12/15 3:10 am,-
Clean Cycle Complete,12/14 6:41 am,-
Clean Cycle In Progress,12/14 6:39 am,-
Weight recorded,12/14 6:32 am,10.3 lbs
Cat detected,12/14 6:31 am,-
Clean Cycle Complete,12/13 6:39 pm,-
Clean Cycle In Progress,12/13 6:37 pm,-
Weight recorded,12/13 6:30 pm,10.3 lbs
Cat detected,12/13 6:28 pm,-
Clean Cycle Complete,12/13 12:41 pm,-
Clean Cycle In Progress,12/13 12:38 pm,-
Weight recorded,12/13 12:31 pm,15.0 lbs
Cat detected,12/13 12:30 pm,-
Clean Cycle Complete,12/13 8:29 am,-
Clean Cycle In Progress,12/13 8:26 am,-
Weight recorded,12/13 8:19 am,19.2 lbs
Cat detected,12/13 8:19 am,-
Clean Cycle Complete,12/13 5:03 am,-
Clean Cycle In Progress,12/13 5:01 am,-
Weight recorded,12/13 4:54 am,19.1 lbs
Cat detected,12/13 4:53 am,-
Clean Cycle Complete,12/13 3:26 am,-
Clean Cycle In Progress,12/13 3:24 am,-
Weight recorded,12/13 3:17 am,10.2 lbs
Cat detected,12/13 3:16 am,-
Clean Cycle Complete,12/12 6:55 pm,-
Clean Cycle In Progress,12/12 6:52 pm,-
Weight recorded,12/12 6:45 pm,14.9 lbs
Cat detected,12/12 6:44 pm,-
Clean Cycle Complete,12/12 5:26 pm,-
Clean Cycle In Progress,12/12 5:24 pm,-
Cat detected,12/12 5:19 pm,-
Clean Cycle Complete,12/12 3:03 pm,-
Clean Cycle In Progress,12/12 3:01 pm,-
Weight recorded,12/12 2:54 pm,14.8 lbs
Cat detected,12/12 2:53 pm,-
Clean Cycle Complete,12/12 3:42 am,-
Clean Cycle In Progress,12/12 3:40 am,-
Weight recorded,12/12 3:33 am,14.8 lbs
Cat detected,12/12 3:32 am,-
Clean Cycle Complete,12/12 3:28 am,-
Clean Cycle In Progress,12/12 3:26 am,-
Weight recorded,12/12 3:19 am,10.2 lbs
Cat detected,12/12 3:18 am,-
Clean Cycle Complete,12/11 6:36 pm,-
Clean Cycle In Progress,12/11 6:34 pm,-
Weight recorded,12/11 6:27 pm,10.3 lbs
Cat detected,12/11 6:25 pm,-
Clean Cycle Complete,12/11 4:45 pm,-
Clean Cycle In Progress,12/11 4:43 pm,-
Weight recorded,12/11 4:36 pm,14.8 lbs
Cat detected,12/11 4:35 pm,-
Clean Cycle Complete,12/11 4:18 pm,-
Clean Cycle In Progress,12/11 4:16 pm,-
Weight recorded,12/11 4:09 pm,19.2 lbs
Cat detected,12/11 4:09 pm,-
Clean Cycle Complete,12/11 4:35 am,-
Clean Cycle In Progress,12/11 4:33 am,-
Weight recorded,12/11 4:26 am,14.9 lbs
Cat detected,12/11 4:25 am,-
Clean Cycle Complete,12/10 6:33 pm,-
Clean Cycle In Progress,12/10 6:30 pm,-
Weight recorded,12/10 6:23 pm,10.2 lbs
Cat detected,12/10 6:22 pm,-
Clean Cycle Complete,12/10 5:36 am,-
Clean Cycle In Progress,12/10 5:34 am,-
Weight recorded,12/10 5:27 am,15.1 lbs
Cat detected,12/10 5:25 am,-
Clean Cycle Complete,12/10 2:43 am,-
Clean Cycle In Progress,12/10 2:40 am,-
Weight recorded,12/10 2:33 am,10.1 lbs
Cat detected,12/10 2:33 am,-